"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Morning workout ☀️","Apr 22, 2026, 7:43 AM","Apr 22, 2026, 8:30 AM","","Chest Press (Machine)",,"",0,"normal",55,10,,,
"Morning workout ☀️","Apr 22, 2026, 7:43 AM","Apr 22, 2026, 8:30 AM","","Chest Supported Incline Row (Dumbbell)",,"",0,"normal",40,10,,,
"Morning workout ☀️","Apr 22, 2026, 7:43 AM","Apr 22, 2026, 8:30 AM","","Lat Pulldown (Cable)",,"",0,"normal",55,10,,,
"Morning workout ☀️","Apr 22, 2026, 7:43 AM","Apr 22, 2026, 8:30 AM","","Leg Press (Machine)",,"",0,"normal",50,10,,,
"Morning workout ☀️","Apr 22, 2026, 7:43 AM","Apr 22, 2026, 8:30 AM","","Leg Press (Machine)",,"",1,"failure",90,11,,,
"Morning workout ☀️","Apr 22, 2026, 7:43 AM","Apr 22, 2026, 8:30 AM","","Deadlift (Smith Machine)",,"",0,"normal",45,10,,,
"Morning workout ☀️","Apr 22, 2026, 7:43 AM","Apr 22, 2026, 8:30 AM","","Seated Shoulder Press (Machine)",,"",0,"normal",50,10,,,
"Morning workout ☀️","Apr 22, 2026, 7:43 AM","Apr 22, 2026, 8:30 AM","","Preacher Curl (Machine)",,"",0,"normal",30,10,,,
"Morning workout ☀️","Apr 22, 2026, 7:43 AM","Apr 22, 2026, 8:30 AM","","Preacher Curl (Machine)",,"",1,"normal",30,5,,,
"Morning workout ☀️","Apr 22, 2026, 7:43 AM","Apr 22, 2026, 8:30 AM","","Triceps Pushdown",,"",0,"normal",30,10,,,
"Morning workout ☀️","Apr 22, 2026, 7:43 AM","Apr 22, 2026, 8:30 AM","","Leg Extension (Machine)",,"",0,"normal",45,10,,,
"Morning workout ☀️","Apr 22, 2026, 7:43 AM","Apr 22, 2026, 8:30 AM","","Lying Leg Curl (Machine)",,"",0,"normal",45,10,,,
"Rehabilitation","Apr 22, 2026, 7:27 AM","Apr 22, 2026, 7:42 AM","","Hip Thrust (Smith Machine)",,"",0,"normal",50,10,,,
"Rehabilitation","Apr 22, 2026, 7:27 AM","Apr 22, 2026, 7:42 AM","","Back Extension (Hyperextension)",,"",0,"normal",,10,,,
"Rehabilitation","Apr 22, 2026, 7:27 AM","Apr 22, 2026, 7:42 AM","","Wall Sit",,"",0,"normal",,,,60,
"Rehabilitation","Apr 22, 2026, 7:27 AM","Apr 22, 2026, 7:42 AM","","Hip Adduction (Machine)",,"Setting 3",0,"normal",45,10,,,
"Warm-up","Apr 22, 2026, 7:19 AM","Apr 22, 2026, 7:26 AM","","Treadmill",,"",0,"normal",,,,420,
"Morning workout ☀️","Apr 20, 2026, 7:57 AM","Apr 20, 2026, 8:43 AM","","Chest Press (Machine)",,"",0,"normal",50,10,,0,
"Morning workout ☀️","Apr 20, 2026, 7:57 AM","Apr 20, 2026, 8:43 AM","","Chest Supported Incline Row (Dumbbell)",,"",0,"normal",30,10,,0,
"Morning workout ☀️","Apr 20, 2026, 7:57 AM","Apr 20, 2026, 8:43 AM","","Lat Pulldown (Cable)",,"",0,"normal",55,10,,0,
